date and time (UTC),image name,radiation
2017-07-21 13:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021345380_e20172021356147_c20172021356191.nc,624.0
2017-07-21 14:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021400380_e20172021411147_c20172021411190.nc,681.0
2017-07-21 14:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021415380_e20172021426147_c20172021426192.nc,707.0
2017-07-21 14:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021430380_e20172021441147_c20172021441191.nc,750.0
2017-07-21 14:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021445380_e20172021456147_c20172021456254.nc,796.0
2017-07-21 15:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021500380_e20172021511147_c20172021511193.nc,830.0
2017-07-21 15:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172021515380_e20172021526147_c20172021526191.nc,876.0
2017-07-26 11:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071100380_e20172071111147_c20172071111190.nc,3.0
2017-07-26 11:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071115380_e20172071126147_c20172071126190.nc,26.0
2017-07-26 11:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071130380_e20172071141147_c20172071141193.nc,64.0
2017-07-26 11:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071145380_e20172071156147_c20172071156193.nc,107.0
2017-07-26 12:05:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071200380_e20172071211147_c20172071211192.nc,169.0
2017-07-26 12:20:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071215380_e20172071226147_c20172071226190.nc,291.0
2017-07-26 12:35:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071230380_e20172071241147_c20172071241193.nc,376.0
2017-07-26 12:50:00 UTC,OR_ABI-L1b-RadF-M3C03_G16_s20172071245380_e20172071256147_c20172071256193.nc,415.0
